Time, Latitude, Longitude, Dust(ug/m3), Humidity, Temp (C)
28/10/2016 17:25:47,69.681656,18.975897,-94.02,20.00,22.00
28/10/2016 17:25:50,69.681686,18.975866,-82.26,22.00,18.00
28/10/2016 17:25:53,69.681671,18.975830,-88.98,35.00,21.00
28/10/2016 17:25:56,69.681610,18.975849,-88.14,22.00,18.00
28/10/2016 17:25:59,69.681610,18.975864,-92.34,22.00,18.00
28/10/2016 17:26:2,69.681580,18.975948,-94.02,35.00,21.00
28/10/2016 17:26:5,69.681580,18.975948,-92.34,21.00,17.00
28/10/2016 17:26:5,69.681580,18.975948,-94.02,22.00,18.00
28/10/2016 17:26:5,69.681580,18.975948,-79.74,35.00,22.00
28/10/2016 17:26:13,69.681580,18.975948,-90.66,20.00,17.00
28/10/2016 17:26:13,69.681580,18.975948,-62.95,35.00,21.00
28/10/2016 17:26:13,69.681580,18.975948,-73.02,22.00,18.00
28/10/2016 17:26:21,69.681595,18.975918,-91.50,34.00,21.00
28/10/2016 17:26:24,69.681602,18.975897,-93.18,35.00,21.00
28/10/2016 17:26:27,69.681610,18.975847,-92.34,35.00,21.00
28/10/2016 17:26:30,69.681610,18.975821,-94.86,22.00,18.00
28/10/2016 17:26:33,69.681625,18.975763,10.12,22.00,16.00
28/10/2016 17:26:36,69.681656,18.975733,-94.02,22.00,16.00
28/10/2016 17:26:39,69.681656,18.975763,-94.02,21.00,17.00
28/10/2016 17:26:42,69.681656,18.975763,-90.66,21.00,17.00
28/10/2016 17:26:42,69.681656,18.975763,-41.95,22.00,18.00
28/10/2016 17:26:42,69.681656,18.975763,-67.15,22.00,18.00
28/10/2016 17:26:50,69.681671,18.975662,-89.82,22.00,16.00
28/10/2016 17:26:53,69.681671,18.975609,-88.14,36.00,21.00
28/10/2016 17:26:56,69.681671,18.975609,-77.22,36.00,21.00
28/10/2016 17:26:56,69.681671,18.975609,-93.18,21.00,19.00
28/10/2016 17:26:56,69.681671,18.975609,-90.66,22.00,18.00
28/10/2016 17:27:1,69.681671,18.975609,-68.83,22.00,18.00
28/10/2016 17:27:6,69.681671,18.975609,-93.18,22.00,18.00
28/10/2016 17:27:6,69.681671,18.975609,-94.02,22.00,18.00
28/10/2016 17:27:6,69.681671,18.975609,-39.43,22.00,18.00
28/10/2016 17:27:11,69.681671,18.975609,-93.18,22.00,16.00
28/10/2016 17:27:14,69.681671,18.975609,-73.02,22.00,18.00
28/10/2016 17:27:14,69.681671,18.975609,-64.63,22.00,18.00
28/10/2016 17:27:16,69.681671,18.975609,-88.98,22.00,18.00
28/10/2016 17:27:21,69.681671,18.975609,-51.19,22.00,18.00
28/10/2016 17:27:23,69.681671,18.975609,-28.51,22.00,18.00
28/10/2016 17:27:23,69.681671,18.975609,-91.50,21.00,17.00
28/10/2016 17:27:25,69.681671,18.975609,-61.27,22.00,18.00
28/10/2016 17:27:30,69.681671,18.975609,-70.51,22.00,18.00
28/10/2016 17:27:32,69.681671,18.975609,-91.50,22.00,18.00
28/10/2016 17:27:32,69.681671,18.975609,-46.15,22.00,18.00
28/10/2016 17:27:35,69.681671,18.975609,22.72,22.00,18.00
28/10/2016 17:27:39,69.681671,18.975609,-92.34,36.00,21.00
28/10/2016 17:27:42,69.681671,18.975609,-88.14,22.00,18.00
28/10/2016 17:27:42,69.681671,18.975609,-94.86,22.00,18.00
28/10/2016 17:27:44,69.681671,18.975609,-88.14,22.00,18.00
28/10/2016 17:27:49,69.681671,18.975609,-70.51,22.00,18.00
28/10/2016 17:27:51,69.681671,18.975609,-67.15,22.00,18.00
28/10/2016 17:27:51,69.681671,18.975609,-91.50,34.00,21.00
28/10/2016 17:27:53,69.681671,18.975609,-86.46,35.00,21.00
28/10/2016 17:27:58,69.681671,18.975609,-90.66,22.00,18.00
28/10/2016 17:28:0,69.681671,18.975609,-94.86,37.00,22.00
28/10/2016 17:28:0,69.681671,18.975609,-95.70,21.00,17.00
28/10/2016 17:28:3,69.681671,18.975609,-60.43,21.00,19.00
28/10/2016 17:28:7,69.681671,18.975609,-88.98,34.00,21.00
28/10/2016 17:28:10,69.681671,18.975609,-94.02,22.00,18.00
28/10/2016 17:28:10,69.681671,18.975609,-91.50,22.00,18.00
28/10/2016 17:28:12,69.681671,18.975609,-90.66,22.00,18.00
28/10/2016 17:28:17,69.681671,18.975609,-88.14,22.00,16.00
28/10/2016 17:28:19,69.681671,18.975609,-57.07,34.00,22.00
28/10/2016 17:28:19,69.681671,18.975609,-88.98,21.00,19.00
28/10/2016 17:28:21,69.681671,18.975609,-92.34,34.00,21.00
28/10/2016 17:28:26,69.681671,18.975609,-88.98,35.00,21.00
28/10/2016 17:28:28,69.681671,18.975609,-82.26,22.00,18.00
28/10/2016 17:28:28,69.681671,18.975609,-91.50,22.00,18.00
28/10/2016 17:28:31,69.681671,18.975609,-79.74,22.00,18.00
28/10/2016 17:28:35,69.681671,18.975609,-94.02,35.00,22.00
28/10/2016 17:28:38,69.681671,18.975609,-94.02,21.00,17.00
28/10/2016 17:28:40,69.681671,18.975609,-88.98,34.00,21.00
28/10/2016 17:28:42,69.681671,18.975609,-88.98,22.00,18.00
28/10/2016 17:28:45,69.681671,18.975609,-88.14,22.00,18.00
28/10/2016 17:28:47,69.681671,18.975609,-34.39,21.00,17.00
28/10/2016 17:28:49,69.681671,18.975609,-39.43,22.00,18.00
28/10/2016 17:28:52,69.681671,18.975609,-51.19,22.00,16.00
28/10/2016 17:28:54,69.681671,18.975609,-85.62,22.00,18.00
28/10/2016 17:28:56,69.681671,18.975609,-46.15,22.00,18.00
28/10/2016 17:28:59,69.681671,18.975609,-32.71,22.00,18.00
28/10/2016 17:29:1,69.681671,18.975609,-60.43,22.00,18.00
28/10/2016 17:29:3,69.681671,18.975609,-91.50,22.00,18.00
